TAZ_ID,pop_pct_min,pop_pct_non-min,pop_pct_low,pop_pct_non_low,dif_CO_sqmi,dif_CongVMT,dif_Retl60Trn,dif_Jobs60Trn,dif_HEdu40Trn,dif_Heal40Trn,dif_HwyAttrTm,dif_TrnAttrTm,dif_HwyProdTm,dif_TrnProdTm
57,0,1,0,1,0.2941669999999874,0,-710,-5703,0,0,0.21148000000000167,-0.07557299999999856,0.2597769999999997,-0.1273650000000046
58,0,1,0,1,0,0,-710,-5703,0,0,0.3336189999999988,-0.014731999999995082,0.2659489999999991,-0.06641000000000474
59,0,1,0,1,0,0,-249,-333,0,0,0.07431799999999811,-0.056986999999999455,0.20821399999999812,-0.08755499999999472
60,0,1,0,1,0,0,-755,-6099,0,0,0.16290700000000413,-0.08992700000000298,0.2607420000000005,-0.13090099999999438
61,0.520634921,0.479365079,0.394230769,0.605769231,-2.633131999999989,-264.425390000004,-287,-1121,0,0,0.18822100000000574,-0.10861199999999727,0.17287899999999468,-0.1442779999999999
62,0.296741855,0.703258145,0.399026764,0.600973236,-2.6377080000000035,-1052.4383700000035,-434,-551,0,0,0.12127300000000218,-0.12248400000000004,0.10461799999999855,-0.17524400000000284
63,0.18627451,0.81372549,0,1,0.0650220000000008,0,-265,-459,0,0,0.16015999999999764,-0.1608850000000004,0.16325300000000453,-0.19013599999999542
64,0.484375,0.515625,0.384615385,0.615384615,-0.058324000000002485,-78.89406099999997,-672,-531,0,0,0.23046500000000236,-0.09225899999999854,0.2693220000000025,-0.13083299999999554
65,0.489583333,0.510416667,0.404255319,0.595744681,-42.89751700000011,-5582.950300000026,-240,-424,0,0,0.1349260000000001,-0.07487799999999822,0.1973650000000049,-0.1280789999999996
66,0,1,0.222222222,0.777777778,-8.894862999999987,19886.7341,-658,-1510,0,0,0.16325700000000154,-0.06848099999999846,0.2158540000000002,-0.09482200000000063
67,0,1,0,1,-118.94922999999972,-252445.689,-755,-6099,0,0,0.22745499999999907,0.028846999999998957,0.30299300000000073,-0.008196999999995569
68,0,1,0,1,-35.27029000000016,-21166.169100000057,-755,-8147,0,0,0.26989300000000327,-0.0020489999999995234,0.31324299999999994,-0.051364999999996996
69,0.461197339,0.538802661,0.4,0.6,-13.94498699999997,-6548.1956000000355,-217,-690,0,0,0.08735599999999977,-0.03418699999999575,0.17416400000000465,-0.08249299999999948
70,0.978142077,0.021857923,0.404494382,0.595505618,-0.6355699999999977,-215.50978000000032,-144,-302,0,0,0.13553600000000188,-0.04936999999999614,0.15144800000000203,-0.15684499999999701
71,0,1,0,1,-0.011946999999992158,2951.3176000000094,3,665,0,0,0.2477220000000031,-0.09011499999999728,0.09302600000000183,-0.13195400000000035
72,0.050251256,0.949748744,0.288135593,0.711864407,-2.3369240000000104,-1624.8899000000092,-704,-2310,0,0,0.19144399999999706,-0.041416000000005226,0.13334199999999896,-0.07136099999999601
73,0.167247387,0.832752613,0.296089385,0.703910615,0.22299100000000038,0,-724,-2474,0,0,0.050513999999999726,-0.05312900000000198,0.06587800000000144,-0.07841900000000024
74,0.155717762,0.844282238,0.583333333,0.416666667,0,0,-180,-724,0,0,0.1458250000000021,-0.07544700000000049,0.1496309999999994,-0.09632299999999816
75,0.438423645,0.561576355,0.426035503,0.573964497,-7.3515079999999955,-174.70934000000125,-135,-328,0,0,0.05335399999999879,-0.09352600000000066,0.08633000000000024,-0.13646000000000313
76,0.598002497,0.401997503,0.457142857,0.542857143,0,0,-135,-328,0,0,0.08039300000000082,-0.11346999999999952,0.11892399999999981,-0.12757099999999966
77,0.864468864,0.135531136,0.503067485,0.496932515,-12.726077000000032,-9092.797299999977,-116,595,0,0,0.08880399999999966,-0.1055199999999985,0.10040800000000161,-0.14617900000000006
78,0.400428266,0.599571734,0.296819788,0.703180212,-5.493979000000024,-1902.3248000000021,-538,-4041,0,0,0.01185000000000258,-0.015526000000001261,0.10412599999999728,-0.05069400000000002
79,0.729591837,0.270408163,0.71641791,0.28358209,-9.292333999999983,-4383.754799999995,-45,-396,0,0,0.0885549999999995,-0.11879700000000071,0.09173200000000037,-0.14912399999999337
80,0.666666667,0.333333333,0,1,-10.486206999999979,-1719.123900000006,-217,-690,0,0,0.13380799999999482,-0.19664000000000215,0.14155200000000434,-0.2496760000000009
