"","TAZ_ID","State","County","Town","RPA","pop_pct_min","pop_pct_non-min","pop_pct_low","pop_pct_non_low","nb_Jobs60Trn","nb_Retl60Trn","nb_HEdu40Trn","nb_Heal40Trn","nb_TrnProdTm","nb_TrnAttrTm","nb_HwyProdTm","nb_HwyAttrTm","nb_CongVMT_sqmi","nb_CO_sqmi","b_Jobs60Trn","b_Retl60Trn","b_HEdu40Trn","b_Heal40Trn","b_TrnProdTm","b_TrnAttrTm","b_HwyProdTm","b_HwyAttrTm","b_CongVMT_sqmi","b_CO_sqmi"
"73",73,"MA","Suffolk","Boston","MAPC",0.167247387,0.832752613,0.296089385,0.703910615,1019904,115640,212884,4283.833496,29.790997,29.290731,23.801643,25.355255,0,17.880224,1017430,114916,212884,4283.833496,29.712578,29.237602,23.867521,25.405769,0,18.103215
"74",74,"MA","Suffolk","Boston","MAPC",0.155717762,0.844282238,0.583333333,0.416666667,1032122,117536,209489,5041.333496,31.881956,31.361063,36.58952,40.363819,0,0,1031398,117356,209489,5041.333496,31.785633,31.285616,36.739151,40.509644,0,0
"75",75,"MA","Suffolk","Boston","MAPC",0.438423645,0.561576355,0.426035503,0.573964497,1045890,121627,233292,5491.333496,29.100674,29.228189,27.639126,30.994843,34781.92121,75.172626,1045562,121492,233292,5491.333496,28.964214,29.134663,27.725456,31.048197,34607.21187,67.821118
"76",76,"MA","Suffolk","Boston","MAPC",0.598002497,0.401997503,0.457142857,0.542857143,1041708,120381,231703,5155.833496,30.23007,30.688734,27.522657,31.093904,0,0,1041380,120246,231703,5155.833496,30.102499,30.575264,27.641581,31.174297,0,0
"77",77,"MA","Suffolk","Boston","MAPC",0.864468864,0.135531136,0.503067485,0.496932515,1037103,117640,231785,5329.833496,30.281452,30.517977,26.941212,29.179976,755608.8069,1490.981462,1037698,117524,231785,5329.833496,30.135273,30.412457,27.04162,29.26878,746516.0096,1478.255385
"78",78,"MA","Suffolk","Boston","MAPC",0.400428266,0.599571734,0.296819788,0.703180212,1008480,114506,204611,4283.833496,37.388382,37.017853,29.107489,30.956898,199938.9033,490.56376,1004439,113968,204611,4283.833496,37.337688,37.002327,29.211615,30.968748,198036.5785,485.069781
"79",79,"MA","Suffolk","Boston","MAPC",0.729591837,0.270408163,0.71641791,0.28358209,1018705,114789,212884,4705.833496,33.863018,33.685287,32.577667,35.333591,418109.3727,870.345732,1018309,114744,212884,4705.833496,33.713894,33.56649,32.669399,35.422146,413725.6179,861.053398
"80",80,"MA","Suffolk","Boston","MAPC",0.666666667,0.333333333,0,1,1024310,117268,212884,4584.833496,36.708832,35.94865,40.429249,43.970322,161729.8179,368.228317,1023620,117051,212884,4584.833496,36.459156,35.75201,40.570801,44.10413,160010.694,357.74211
"81",81,"MA","Suffolk","Boston","MAPC",0.754352031,0.245647969,0.72244898,0.27755102,1022029,119059,205969,4958.833496,34.752647,34.569183,37.712185,41.278145,19042.33862,40.391902,1022236,118870,205969,4958.833496,34.549229,34.394749,37.771416,41.271515,18679.53267,39.650287
"82",82,"MA","Suffolk","Boston","MAPC",0.772413793,0.227586207,0.7265625,0.2734375,1006897,114866,224701,4508.833496,32.086842,32.816826,26.520823,29.722843,153376.5439,462.463598,1007019,114828,224701,4508.833496,31.996399,32.748108,26.603451,29.799706,144983.872,455.997594
"83",83,"MA","Suffolk","Boston","MAPC",0.978098291,0.021901709,0.717528373,0.282471627,1006083,114504,205969,4508.833496,29.141491,29.737576,20.186161,21.971985,676064.1462,1214.852307,1005687,114459,205969,4508.833496,29.083157,29.585127,20.255014,21.977737,668785.2261,1215.887718
