TAZ_ID,Town,Population,Households
904,Arlington,3127,1293
905,Arlington,4114,1927
906,Arlington,1789,804
907,Arlington,2814,1326
908,Belmont,3287,1509
909,Belmont,2053,797
910,Belmont,1268,524
911,Belmont,3303,1343
912,Belmont,1792,582
913,Belmont,2855,1277
914,Belmont,2801,1311
915,Belmont,1819,865
916,Belmont,2700,1221
917,Belmont,1920,774
918,Belmont,1621,527
919,Belmont,1442,542
920,Belmont,733,347
921,Belmont,722,168
922,Watertown,1901,911
923,Watertown,1176,574
924,Watertown,1339,695
925,Watertown,1640,753
926,Watertown,774,352
927,Watertown,3149,1493
928,Watertown,2389,1157
929,Watertown,3640,1731
930,Watertown,3953,1926
931,Watertown,1763,766
932,Watertown,1882,887
933,Watertown,1842,956
934,Watertown,648,273
935,Watertown,2384,1198
936,Watertown,3489,1780
937,Watertown,2117,1074
938,Watertown,3304,1658
939,Watertown,1511,701
940,Lexington,3289,1248
941,Lexington,961,376
942,Lexington,150,52
943,Lexington,2397,1012
944,Lexington,2530,977
945,Lexington,2440,951
946,Lexington,2085,756
947,Lexington,3481,1412
948,Lexington,2336,972
949,Lexington,1404,569
950,Lexington,2367,1036
951,Lexington,783,302
952,Lexington,2659,1080
953,Lexington,4493,1799
954,Lexington,40,20
955,Lexington,1005,392
956,Lexington,0,0
957,Lexington,0,0
958,Lexington,13,4
959,Lexington,6,2
960,Lexington,2238,904
961,Waltham,1591,777
962,Waltham,351,4
963,Waltham,2275,0
964,Waltham,2384,1109
965,Waltham,4078,2109
966,Waltham,3419,1570
967,Waltham,3240,1640
968,Waltham,22,11
969,Waltham,1521,699
970,Waltham,1429,591
971,Waltham,795,351
972,Waltham,140,51
973,Waltham,0,0
974,Waltham,485,250
975,Waltham,161,62
976,Waltham,1084,474
977,Waltham,499,228
978,Waltham,2503,1230
979,Waltham,1627,867
980,Waltham,1601,903
981,Waltham,3842,1517
982,Waltham,1103,526
983,Waltham,2168,1116
984,Waltham,2227,3
985,Waltham,1427,747
986,Waltham,556,53
987,Waltham,1836,948
988,Waltham,1104,569
989,Waltham,2040,1011
990,Waltham,3099,1469
991,Waltham,2922,660
992,Waltham,1843,930
993,Waltham,4012,1735
994,Waltham,1205,611
995,Waltham,1546,900
996,Waltham,2406,1073
997,Waltham,3351,1463
998,Waltham,1404,734
999,Newton,916,486
1000,Newton,980,489
1001,Newton,2614,1293
1002,Newton,1253,596
1003,Newton,1835,909
1004,Newton,971,514
1005,Newton,1563,778
1006,Newton,2816,1157
1007,Newton,2759,988
1008,Newton,1147,317
1009,Newton,1583,738
1010,Newton,1607,653
1011,Newton,2115,917
1012,Newton,2100,902
1013,Newton,2528,1004
1014,Newton,1366,561
1015,Newton,2647,1086
1016,Newton,1337,4
1017,Newton,2164,77
1018,Newton,1612,621
1019,Newton,2032,738
1020,Newton,2749,761
1021,Newton,2118,988
1022,Newton,3214,1428
1023,Newton,1766,785
1024,Newton,1735,716
1025,Newton,1756,709
1026,Newton,1072,470
1027,Newton,3074,1107
1028,Newton,3200,1052
1029,Newton,666,220
1030,Newton,1546,689
1031,Newton,1476,587
1032,Newton,1280,539
1033,Newton,2225,875
1034,Newton,2501,1026
1035,Newton,391,148
1036,Newton,3156,1420
1037,Newton,2381,986
1038,Newton,1045,372
1039,Newton,899,446
1040,Newton,0,0
1041,Newton,2254,1032
1042,Newton,1634,681
1043,Newton,2121,899
1044,Newton,971,392
1045,Newton,2735,1254
1046,Newton,1608,827
1047,Newton,1808,794
1048,Newton,2046,855
1049,Newton,640,304
1050,Newton,1240,144
1051,Newton,2925,1292
1052,Dedham,2226,641
1053,Dedham,2285,1040
1054,Dedham,1448,694
1055,Dedham,2435,1119
1056,Dedham,57,17
1057,Dedham,39,20
1058,Dedham,201,86
1059,Dedham,2167,940
1060,Dedham,3294,1552
1061,Dedham,1700,704
1062,Dedham,13,4
1063,Dedham,970,441
1064,Dedham,0,0
1065,Dedham,1475,623
1066,Dedham,2546,1158
1067,Dedham,3382,1063
1068,Dedham,3352,1485
1069,Milton,2900,692
1070,Milton,1374,518
1071,Milton,3152,1293
1072,Milton,3751,1632
1073,Milton,1890,838
1074,Milton,1230,437
1075,Milton,3211,1374
1076,Milton,794,310
1077,Milton,3233,1442
1078,Milton,1873,734
1079,Milton,2284,929
1080,Milton,2591,1052
1081,Quincy,3264,1631
1082,Quincy,2339,1148
1083,Quincy,1097,539
1084,Quincy,1685,863
1085,Quincy,2392,1126
1086,Quincy,1168,523
1087,Quincy,2221,1011
1088,Quincy,4801,2539
1089,Quincy,991,510
1090,Quincy,2545,1229
1091,Quincy,3107,1174
1092,Quincy,2307,1031
1093,Quincy,2633,1244
1094,Quincy,2340,1060
1095,Quincy,1334,557
1096,Quincy,660,324
1097,Quincy,2439,1149
1098,Quincy,2093,990
1099,Quincy,1258,566
1100,Quincy,2320,1289
1101,Quincy,2650,1274
1102,Quincy,2094,1052
1103,Quincy,2723,1367
1104,Quincy,1874,1026
1105,Quincy,2439,1115
1106,Quincy,2212,1071
1107,Quincy,2702,1372
1108,Quincy,1358,654
1109,Quincy,3599,1725
1110,Quincy,1961,663
1111,Quincy,2115,1069
1112,Quincy,985,497
1113,Quincy,2086,935
1114,Quincy,1246,633
1115,Quincy,0,0
1116,Quincy,1444,763
1117,Quincy,1242,471
1118,Quincy,2122,1150
1119,Quincy,1994,932
1120,Quincy,2417,1187
1121,Quincy,3464,1664
1122,Quincy,1181,556
1123,Quincy,747,344
1124,Quincy,2119,1014
1125,Quincy,2861,1399
1126,Quincy,1430,730
1127,Quincy,4628,2354
1128,Quincy,1830,945
1129,Quincy,439,110
1130,Quincy,2972,1409
1131,Quincy,4506,2138
1132,Quincy,4393,1799
