TAZ_ID,State,County,Town,RPA,Minority,Low_inc,Jobs30Hwy,Jobs60Trn,Retl30Hwy,Retl60Trn,HEdu20Hwy,HEdu40Trn,Heal20Hwy,Heal40Trn,TrnProdTm,TrnAttrTm,HwyProdTm,HwyAttrTm,JobsAccCmp,RetlAccCmp,HEduAccCmp,HealAccCmp,CongVMT_sqmi,TotalVMT_sqmi,TotalVHT_sqmi,CO_sqmi,NOX_sqmi,VOC_sqmi,CO2_sqmi
3141,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,166418,50613,14382,2834,0,0,0,0,61.565277,64.010406,17.386793,17.461203,162556.9375,13996.97754,0,0,786327.1898,1079540.29,48042.33888,1075.233136,48.715912,26.599439,308350.0369
3142,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,165035,48125,14226,2700,0,0,0,0,60.255196,59.849319,17.364668,17.447842,161448.1094,13872.37207,0,0,115682.1156,240299.7033,13376.75425,236.99457,9.494012,6.673149,76722.24327
3143,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,150858,6774,13063,224,0,0,0,0,79.73661,77.415009,19.348459,19.425159,148463,12849.58691,0,0,3235.436579,33813.59588,1889.240502,35.636863,1.377211,0.89922,10405.23519
3144,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,155315,4662,13634,175,0,0,0,0,80.456139,76.335075,18.48918,18.658789,152844.1094,13413.25586,0,0,0,13591.35432,680.346159,14.025297,0.49658,0.336885,3912.603813
3145,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,157773,11657,13755,478,0,0,0,0,82.449081,73.933723,23.122252,23.137396,153880.8906,13401.33887,0,0,107016.5967,230041.2108,8884.609705,204.379738,9.158352,4.935889,57981.8979
3146,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,157784,16233,13683,393,0,0,0,0,77.250023,72.799629,18.269642,18.417879,155100.9688,13431.09473,0,0,655283.4183,1367967.684,53596.58654,1215.374469,54.82274,30.204062,355265.2821
3147,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,150625,644,13226,54,0,0,0,0,104.059456,102.453217,21.897905,21.534716,149145.4688,13096.06055,0,0,0,0,0,0,0,0,0
3148,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,151170,993,13257,83,0,0,0,0,96.810448,91.990753,25.813217,25.722443,149392.4219,13101.06543,0,0,65815.61563,135596.783,4958.895427,116.362186,5.251741,2.795126,33124.38068
3149,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,154008,5988,13403,207,0,0,0,0,82.459061,79.513145,19.981987,19.845175,151776.1094,13204.02637,0,0,0,32572.0447,1777.492101,34.817311,1.314211,0.856844,9989.676352
3150,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,153050,1552,13211,86,0,0,0,0,94.034233,88.010658,25.675602,25.869171,148571.3594,12822.99609,0,0,209952.1983,375447.9095,10835.19912,394.029533,17.996988,7.357327,87492.49773
